"","vars","n"
"1",2018-01-01,237118
"2",2018-01-02,238152
"3",2018-01-03,266992
"4",2018-01-04,122222
"5",2018-01-05,265212
"6",2018-01-06,281260
"7",2018-01-07,237393
"8",2018-01-08,259792
"9",2018-01-09,284662
"10",2018-01-10,290362
"11",2018-01-11,304982
"12",2018-01-12,317639
"13",2018-01-13,321879
"14",2018-01-14,290953
"15",2018-01-15,246888
"16",2018-01-16,295727
"17",2018-01-17,305009
"18",2018-01-18,330715
"19",2018-01-19,325598
"20",2018-01-20,294520
"21",2018-01-21,252191
"22",2018-01-22,261653
"23",2018-01-23,287525
"24",2018-01-24,315567
"25",2018-01-25,331893
"26",2018-01-26,335361
"27",2018-01-27,309969
"28",2018-01-28,259807
"29",2018-01-29,266607
"30",2018-01-30,302841
"31",2018-01-31,319043
"32",2018-02-01,321043
"33",2018-02-02,349367
"34",2018-02-03,316598
"35",2018-02-04,265824
"36",2018-02-05,286197
"37",2018-02-06,303040
"38",2018-02-07,315745
"39",2018-02-08,338939
"40",2018-02-09,337384
"41",2018-02-10,322013
"42",2018-02-11,261619
"43",2018-02-12,287888
"44",2018-02-13,317895
"45",2018-02-14,321593
"46",2018-02-15,322857
"47",2018-02-16,322030
"48",2018-02-17,305440
"49",2018-02-18,253403
"50",2018-02-19,241819
"51",2018-02-20,268383
"52",2018-02-21,297486
"53",2018-02-22,328851
"54",2018-02-23,328744
"55",2018-02-24,312893
"56",2018-02-25,269527
"57",2018-02-26,278570
"58",2018-02-27,301618
"59",2018-02-28,314604
"60",2018-03-01,332802
"61",2018-03-02,326944
"62",2018-03-03,316823
"63",2018-03-04,286326
"64",2018-03-05,290631
"65",2018-03-06,315726
"66",2018-03-07,233278
"67",2018-03-08,326640
"68",2018-03-09,348424
"69",2018-03-10,342083
"70",2018-03-11,278455
"71",2018-03-12,293843
"72",2018-03-13,306557
"73",2018-03-14,336119
"74",2018-03-15,348198
"75",2018-03-16,349840
"76",2018-03-17,325099
"77",2018-03-18,278789
"78",2018-03-19,271630
"79",2018-03-20,313025
"80",2018-03-21,183629
"81",2018-03-22,300702
"82",2018-03-23,325852
"83",2018-03-24,310630
"84",2018-03-25,275756
"85",2018-03-26,280093
"86",2018-03-27,298685
"87",2018-03-28,314051
"88",2018-03-29,325600
"89",2018-03-30,307559
"90",2018-03-31,285252
"91",2018-04-01,244394
"92",2018-04-02,258930
"93",2018-04-03,305554
"94",2018-04-04,310941
"95",2018-04-05,332195
"96",2018-04-06,326443
"97",2018-04-07,321219
"98",2018-04-08,279660
"99",2018-04-09,285025
